day,hour,SensorID,reading,belief,disbelief,uncertainity,atomicity,expectation,final Reading
20170621,0,1002,23.011011815876074,0.0,0.0,1.0,0.5,0.5,25.700128338177095
20170621,1,1002,24.004048501121108,0.8136132028403741,0.0,0.1863867971596259,0.5,0.90680660142,24.40972415982069
20170621,2,1002,26.580745344500514,0.8734457761881217,0.0,0.12655422381187828,0.5,0.9367228881,25.209831799554244
20170621,3,1002,25.44705812523119,0.8854446982225358,0.0,0.11455530177746415,0.5,0.94272234911,23.913340670933298
20170621,4,1002,17.03783544661558,0.8837563765195413,0.0,0.11624362348045873,0.5,0.94187818826,20.203376316610054
20170621,5,1002,14.41586154475069,0.8392092737787469,0.0,0.1607907262212531,0.5,0.91960463689,20.282295059671874
20170621,6,1002,23.107818288794828,0.5774286282691676,0.23818119361653212,0.1843901781143003,0.5,0.66962371732,23.976871411523767
20170621,7,1002,15.819388425838667,0.7174484834192711,0.12337064130547071,0.1591808752752582,0.5,0.79703892106,19.353535610078076
20170621,8,1002,11.911594543484489,0.6385494426951577,0.12532475514197794,0.23612580216286436,0.5,0.75661234378,16.006034264121237
20170621,9,1002,9.087952402658484,0.579628742809231,0.10153439674765385,0.31883686044311516,0.5,0.73904717303,10.516823493762718
20170621,10,1002,13.378012142688437,0.6335250343883754,0.05878985621763455,0.3076851093939901,0.5,0.78736758909,16.02199734176405
20170621,11,1002,10.24033156068628,0.7704936295059125,0.023605117135193865,0.20590125335889362,0.5,0.87344425619,11.322025805001841
20170621,12,1002,9.268074865634048,0.7730646688375845,0.014605279907975666,0.21233005125443977,0.5,0.87922969447,9.460882256587668
20170621,13,1002,8.565793716312607,0.7678680970166121,0.009200693076674704,0.22293120990671322,0.5,0.87933370198,8.257903781864131
20170621,14,1002,8.506027381237686,0.7641927760147538,0.0056981600879462135,0.23010906389729996,0.5,0.87924730796,8.842761106373667
20170621,15,1002,7.402680142037559,0.7533754696187474,0.0036106324639517684,0.24301389791730083,0.5,0.87488241858,7.607464840613776
20170621,16,1002,16.998680077225487,0.732055529286571,0.0023675207845523794,0.26557694992887654,0.5,0.86484400426,14.936814197900961
20170621,17,1002,14.826664931402961,0.7989242603400233,0.0010697876795586758,0.200005951980418,0.5,0.89892723633,11.6654349152269
20170621,18,1002,16.914258500528604,0.6968040709421623,0.012461315713922838,0.29073461334391487,0.5,0.84217137761,14.612457975277213
20170621,19,1002,21.35849885598304,0.6558645266526989,0.00862820282901633,0.3355072705182848,0.5,0.82361816191,18.33888460767627
20170621,20,1002,25.75397370185097,0.7415179240704244,0.003927806155514579,0.254554269774061,0.5,0.86879505896,18.814105623007414
20170621,21,1002,20.167539784300217,0.4349060990845658,0.31626376280933033,0.24883013810610383,0.5,0.55932116814,16.878808620790274
20170621,22,1002,17.030593387842348,0.5170079436638372,0.20896980395683462,0.2740222523793282,0.5,0.65401906985,16.977586624750835
20170621,23,1002,18.308435406629524,0.7318316911989763,0.08418402421224014,0.18398428458878355,0.5,0.8238238335,20.746161720857014
20170622,0,1002,22.83786004821047,0.8181878510378856,0.03916253563427363,0.1426496133278408,0.5,0.88951265771,22.12693755330297
20170622,1,1002,23.671128933491676,0.87616122736413,0.017514019804561687,0.10632475283130824,0.5,0.92932360378,22.842961608783632
20170622,2,1002,24.91490517789022,0.8972128407832265,0.009245061605153038,0.0935420976116205,0.5,0.94398388959,22.542751256003395
20170622,3,1002,22.688546288032,0.8947544074240668,0.005891677172546239,0.09935391540338702,0.5,0.94443136512,21.699953580817187
20170622,4,1002,14.555990458045345,0.8927915654696408,0.003683413972747296,0.10352502055761188,0.5,0.94455407575,18.72692550460664
20170622,5,1002,12.539768229054888,0.814520620504966,0.02806439178731468,0.15741498770771933,0.5,0.89322811436,16.861067372654
20170622,6,1002,19.259209306540626,0.739684100134899,0.025155083558293323,0.2351608163068076,0.5,0.85726450829,17.456296182479452
20170622,7,1002,12.7968494708979,0.7960910985453228,0.012297940952449848,0.19161096050222734,0.5,0.8918965788,14.775397441389696
20170622,8,1002,11.945601874160866,0.8021831551114389,0.007335272844681162,0.19048157204387997,0.5,0.89742394113,14.963335882234322
20170622,9,1002,10.047961519233585,0.7584525741045256,0.005455022787058228,0.23609240310841614,0.5,0.87649877566,11.712403199654538
20170622,10,1002,8.252623929941386,0.7329138329522491,0.003652059216278536,0.2634341078314724,0.5,0.86463088687,10.258697288781287
20170622,11,1002,9.665734394372768,0.6936536387402992,0.002527157321333684,0.3038192039383672,0.5,0.84556324071,9.773407238773625
20170622,12,1002,9.99684485106121,0.7551162894901801,0.0012160911494523141,0.24366761936036768,0.5,0.87695009917,9.935677049308996
20170622,13,1002,8.78870521740345,0.7814149562726885,6.525915760213774E-4,0.21793245215129003,0.5,0.89038118235,9.350065893681803
20170622,14,1002,9.869247443699871,0.7515286600771677,4.4562292202088294E-4,0.24802571700081139,0.5,0.87554151858,10.153776593722714
20170622,15,1002,11.788303928231281,0.7306339190319852,2.900661465764509E-4,0.2690760148214384,0.5,0.86517192644,11.990530836263662
20170622,16,1002,12.58933433545612,0.7289840242674163,1.751811561591099E-4,0.2708407945764246,0.5,0.86440442156,12.590329286635258
20170622,17,1002,19.910918517718027,0.7459868657704463,9.853992401476219E-5,0.253914594305539,0.5,0.87294416293,17.947373524966014
20170622,18,1002,23.918908753182063,0.7762057100891991,5.209831743324678E-5,0.22374219159336756,0.5,0.88807680589,24.353045450464
20170622,19,1002,24.963723909257716,0.8581309585809391,1.9817735306348894E-5,0.14184922368375447,0.5,0.92905557042,23.18951159832916
20170622,20,1002,24.10986470003133,0.8629143419696457,1.1490367736510798E-5,0.1370741676626178,0.5,0.9314514258,20.040699595308464
20170622,21,1002,22.732944930647353,0.853853429189943,7.350152467333615E-6,0.1461392206575897,0.5,0.92692303952,19.287942848321478
20170622,22,1002,16.770183307661128,0.8475395110224453,4.600711642988031E-6,0.15245588826591172,0.5,0.92376745516,15.453493085178394
20170622,23,1002,15.792162197244037,0.8383413974586968,2.927001995334244E-6,0.1616556755393078,0.5,0.91916923523,15.417035134264347
20170623,0,1002,16.531507636945733,0.8447950000231733,1.6861037802629042E-6,0.15520331387304642,0.5,0.92239665696,16.851719598525964
20170623,1,1002,18.095748650027556,0.8546381281021929,9.475065885222733E-7,0.14536092439121856,0.5,0.9273185903,17.446465039987842
20170623,2,1002,18.74856670699536,0.8458688840840113,6.028016564796346E-7,0.15413051311433223,0.5,0.92293414064,17.596884043962653
20170623,3,1002,18.546981382363,0.8295587471825153,3.999546606126003E-7,0.17044085286282404,0.5,0.91477917361,18.726188215939295
20170623,4,1002,17.560784785614523,0.8718864990482378,1.8037759885736193E-7,0.12811332057416341,0.5,0.93594315934,17.202554062207014
20170623,5,1002,12.349332731836007,0.8753054699603758,1.0533837158099857E-7,0.12469442470125264,0.5,0.93765268231,16.66160513835482
20170623,6,1002,13.955676829023467,0.8222526521492547,9.009355506073291E-8,0.1777472577571903,0.5,0.91112628103,15.904858854851852
20170623,7,1002,11.760410620248857,0.8108202840622807,5.7532931307946455E-8,0.18917965840478795,0.5,0.90541011326,13.948185354852502
20170623,8,1002,10.166113131104142,0.7812158152813297,3.992171238031972E-8,0.21878414479695799,0.5,0.89060788768,12.90024397084744
20170623,9,1002,11.378973155935379,0.7458973877601451,2.7819777148607727E-8,0.25410258442007766,0.5,0.87294867997,13.17596341090069
20170623,10,1002,11.93814259616467,0.7180357332055396,1.8522084532790473E-8,0.2819642482723759,0.5,0.85901785735,13.99661719991351
20170623,11,1002,13.855673662788545,0.7304755690350921,1.0622951185368379E-8,0.2695244203419566,0.5,0.86523777921,14.438864664397391
20170623,12,1002,13.29013955157596,0.7677350193621509,5.492651444782837E-9,0.23226497514519764,0.5,0.88386750694,14.317448069476919
20170623,13,1002,12.762055530209183,0.7753154087352603,3.1880333928313576E-9,0.22468458807670638,0.5,0.88765770278,14.05057640181527
20170623,14,1002,11.88558320551215,0.7977472131286633,1.721850106939371E-9,0.2022527851494866,0.5,0.89887360571,12.689896690552581
20170623,15,1002,12.383799454152715,0.7953839820454195,1.0451814969059114E-9,0.20461601690939904,0.5,0.89769199051,12.859324258963401
20170623,16,1002,12.87154179864999,0.804369344224028,5.995703933336927E-10,0.19563065517640166,0.5,0.90218467181,14.424255657475426
20170623,17,1002,11.876652784871412,0.7916926076744156,3.830533668036651E-10,0.20830739194253106,0.5,0.89584630364,11.534692581949841
20170623,18,1002,10.620458758459993,0.8062450805382105,2.137757748599256E-10,0.1937549192480137,0.5,0.90312254017,11.556621042450598
20170623,19,1002,13.047229798309289,0.7922332896462516,1.3754142269561953E-10,0.207766710216207,0.5,0.89611664476,13.226258216980954
20170623,20,1002,12.872691881021538,0.8157286609114082,7.319256312143807E-11,0.18427133901539927,0.5,0.90786433042,14.889140537556033
20170623,21,1002,14.836818326786233,0.8046620679417151,4.65528726678599E-11,0.19533793201173197,0.5,0.90233103394,15.425765640983899
20170623,22,1002,14.703115400213584,0.8128861757491982,2.6755708759651498E-11,0.18711382422404615,0.5,0.90644308786,16.92988730226421
20170623,23,1002,13.162118585513179,0.836699961668721,1.40103484369547E-11,0.16330003831726866,0.5,0.91834998083,16.027567028504418
20170624,0,1002,15.098065404268716,0.8035546888214584,1.0112355397495776E-11,0.19644531116842917,0.5,0.90177734441,16.60236503400351
20170624,1,1002,15.547128768229658,0.7980560974389059,6.2372329523441294E-12,0.2019439025548569,0.5,0.89902804872,16.238518542917127
